Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-1.2906,0.042967,0.039104,0,0,0,76.79,2.2455,0.00023712,-0.16444,4.7478,-0.00013027,5.9615,0,0,0,0,0,0,package://cars assemble/meshes/base_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://cars assemble/meshes/base_link.STL,,chasis-1;Body-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
front_left_link,0.0101054563175425,0.0226182931833723,0.000188080520011333,0,0,0,0.163573437446173,0.000740682334483605,0.00015346095886627,3.10589797959443E-07,9.46378565266336E-05,-2.20832444207929E-06,0.000806338608995048,0,0,0,0,0,0,package://cars assemble/meshes/front_left_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://cars assemble/meshes/front_left_link.STL,,Part1-3,Origin_front_left_joint,Axis_front_left_joint,front_left_joint,continuous,-0.10171,-0.11351,-0.0005163,1.5759,-0.00020786,-1.5298,base_link,0,1,0,,,,,,,,,,,,
front_left_wheel_Link,-3.04773388742352E-05,9.72089512785157E-06,-0.0949363699740946,0,0,0,1.97318465886728,0.00661256233434863,4.78195522683735E-10,-1.45294480759574E-07,0.0066125635922767,4.63572318908979E-08,0.0107550717782981,0,0,0,0,0,0,package://cars assemble/meshes/front_left_wheel_Link.STL,0.898039215686275,0.92156862745098,0.929411764705882,1,0,0,0,0,0,0,package://cars assemble/meshes/front_left_wheel_Link.STL,,tyre 2-7,Origin_front_left_wheel_joint,Axis_front_left_wheel_joint,front_left_wheel_joint,continuous,0.04295,-0.073241,0,-1.5708,0.29618,1.5708,front_left_link,0,0,1,,,,,,,,,,,,
front_right_link,0.0101054563175426,0.0226182931833722,0.000188080520011374,0,0,0,0.163573437446173,0.000740682334483605,0.00015346095886627,3.10589797959131E-07,9.46378565266337E-05,-2.20832444207814E-06,0.000806338608995047,0,0,0,0,0,0,package://cars assemble/meshes/front_right_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://cars assemble/meshes/front_right_link.STL,,Part1-4,Origin_front_right_joint,Axis_front_right_joint,front_right_joint,continuous,-0.10171,0.19637,-0.0005163,1.5657,0.00026013,1.6221,base_link,0,1,0,,,,,,,,,,,,
front_right_wheel_link,-3.0477342272385E-05,9.7208884349137E-06,-0.0990638772882194,0,0,0,1.97318465870598,0.00661256233411517,4.78001958513034E-10,-1.4529547132672E-07,0.00661256359218702,4.63569008046652E-08,0.0107550717781734,0,0,0,0,0,0,package://cars assemble/meshes/front_right_wheel_link.STL,0.898039215686275,0.92156862745098,0.929411764705882,1,0,0,0,0,0,0,package://cars assemble/meshes/front_right_wheel_link.STL,,tyre 2-6,Origin_front_right_wheel_joint,Axis_front_right_wheel_joint,front_right_wheel_joint,continuous,0.038822,-0.073241,0,-1.5708,0.95826,1.5708,front_right_link,0,0,1,,,,,,,,,,,,
lidar_link,9.44587351341744E-05,-0.025399018294254,-2.36146837834933E-05,0,0,0,0.0386111099072293,8.82242414813367E-06,2.31594444351596E-08,4.30632249560021E-11,9.34156189411158E-06,-5.78986110878115E-09,8.82258563522726E-06,0,0,0,0,0,0,package://cars assemble/meshes/lidar_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://cars assemble/meshes/lidar_link.STL,,lidar link-1,Origin_lidar_joint,Axis_lidar_joint,lidar_joint,continuous,0.063442,0.045234,0.13282,-1.5718,0.0049842,2.951,base_link,0,1,0,,,,,,,,,,,,
back_shaft_link,0.00122523970046776,0.00211209276969357,0.0414268213944895,0,0,0,4.17803597748373,0.0172699429850423,4.70060969315722E-12,-6.17091651816874E-08,0.0172699429709338,2.03588191503181E-07,0.0215288263127668,0,0,0,0,0,0,package://cars assemble/meshes/back_shaft_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://cars assemble/meshes/back_shaft_link.STL,,axle-1;tyre 2-4;tyre 2-3,Origin_back_shaft_joint,Axis_back_shaft_joint,back_shaft_joint,continuous,0.19441,0,-0.059473,1.5708,-0.5266,3.1416,base_link,0,0,1,,,,,,,,,,,,
track_Link,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,package://cars assemble/meshes/track_Link.STL,1,1,1,1,0,0,0,0,0,0,package://cars assemble/meshes/track_Link.STL,,Body-1,Origin_track_joint,,track_joint,fixed,-1.5243,0.042991,-0.096811,1.5708,0,0,base_link,0,0,0,,,,,,,,,,,,
